Customer_ID,Age,Tenure,ServicePlan,PaymentMethod,MonthlyUsage,SupportCalls,Churn
0,56,51,Premium,BankTransfer,,0,0
1,69,13,Premium,Cash,82,0,1
2,46,57,Basic,BankTransfer,284,0,0
3,32,55,Standard,BankTransfer,84,3,1
4,60,28,Premium,CreditCard,94,1,0
5,25,44,Standard,BankTransfer,200,6,1
6,38,19,Basic,CreditCard,291,3,0
7,56,46,Standard,CreditCard,186,6,0
8,36,3,Basic,CreditCard,255,9,0
9,40,20,Standard,BankTransfer,269,1,1
10,28,25,Basic,CreditCard,,2,1
11,28,56,Basic,BankTransfer,256,0,0
12,41,61,Standard,BankTransfer,###,8,1
13,53,55,Premium,CreditCard,86,5,0
14,57,35,Premium,BankTransfer,211,9,1
15,41,59,Standard,CreditCard,90,9,0
16,20,39,Premium,CreditCard,128,6,1
17,39,57,Premium,CreditCard,222,3,1
18,19,67,Basic,Cash,116,3,1
19,41,34,Standard,BankTransfer,146,9,1
20,61,41,Premium,Cash,,9,0
21,47,22,Premium,Cash,108,7,0
22,55,27,Premium,BankTransfer,186,0,0
23,19,21,Standard,BankTransfer,57,6,1
24,38,41,Premium,CreditCard,185,3,0
25,50,31,Premium,Cash,54,3,1
26,29,27,Premium,BankTransfer,267,7,1
27,39,37,Basic,CreditCard,175,5,1
28,61,66,Standard,BankTransfer,12,4,0
29,42,54,Premium,BankTransfer,227,8,1
30,66,9,Basic,CreditCard,,1,1
31,44,42,Standard,BankTransfer,106,6,1
32,59,36,Basic,CreditCard,200,1,1
33,45,10,Basic,Cash,52,4,1
34,33,59,Standard,CreditCard,269,2,1
35,32,40,Premium,BankTransfer,180,8,1
36,64,54,Premium,Cash,246,5,0
37,68,39,Basic,Cash,198,5,0
38,61,7,Standard,CreditCard,29,2,0
39,69,4,Standard,CreditCard,182,8,0
40,20,15,Premium,CreditCard,,6,1
41,54,48,Basic,Cash,75,4,1
42,68,6,Premium,CreditCard,235,9,0
43,24,35,Standard,BankTransfer,290,6,0
44,38,71,Standard,Cash,136,9,0
45,26,68,Premium,CreditCard,139,1,1
46,56,58,Premium,Cash,263,5,0
47,35,19,Standard,BankTransfer,82,4,0
48,21,62,Basic,BankTransfer,157,5,0
49,42,71,Standard,BankTransfer,88,7,1
50,31,10,Basic,CreditCard,,2,0
51,67,25,Premium,CreditCard,118,9,0
52,26,44,Premium,Cash,133,7,1
53,43,58,Basic,CreditCard,94,8,0
54,19,25,Standard,Cash,107,4,1
55,37,40,Standard,CreditCard,161,4,0
56,45,70,Basic,BankTransfer,90,6,0
57,64,10,Basic,CreditCard,26,3,0
