event_id,user_id,event_date,country,subscription_plan,device_type,traffic_source,event_type,session_duration_mins,monthly_revenue,customer_support_tickets
E50000,U10969,2024-01-18,UK,Free,Tablet,Referral,Login,37,$56.27,2
E50001,U10772,2024-02-27,Australia,Basic,Mobile,Email,Feature_Use,142,$81.08,1
E50002,U10048,2023-08-28,Australia,Free,Mobile,Ads,Feature_Use,176,$304.46,4
E50003,U10368,2023-03-01,India,Basic,Desktop,Referral,Login,1,$259.81,1
E50004,U11144,2023-08-10,Germany,Basic,Mobile,Organic,Login,39,$119.56,0
E50005,U10700,2023-09-28,India,Pro,Tablet,Organic,Login,107,$175.57,1
E50006,U10610,2023-02-06,Germany,Free,Desktop,Email,Feature_Use,23,$324.67,1
E50007,U10511,2024-02-14,UK,Basic,Desktop,Email,Login,139,$57.08,4
E50008,U10753,2024-01-25,USA,Free,Tablet,Ads,Feature_Use,148,$71.19,1
E50009,U10202,2023-10-25,Germany,Basic,Desktop,Email,Churn,111,$55.0,2
E50010,U10840,2023-06-13,Australia,Free,Tablet,Email,Login,1,$420.04,2
E50011,U10447,2024-04-18,India,Pro,Desktop,Referral,Churn,114,$305.75,2
E50012,U10829,2024-08-04,UK,Free,Mobile,Referral,Login,29,$482.98,1
E50013,U10233,2023-02-03,UK,Free,Mobile,Email,Upgrade,124,$461.78,3
E50014,U10122,2023-12-02,India,Free,Desktop,Email,Feature_Use,84,$38.11,2
E50015,U10304,2024-06-04,USA,Free,Mobile,Email,Login,131,$32.76,1
E50016,U10868,2023-10-02,USA,Free,Mobile,Referral,Login,35,$481.3,0
E50017,U10998,2023-03-12,Australia,Free,Mobile,Email,Feature_Use,52,$300.47,0
E50018,U10596,2023-05-03,Germany,Pro,Desktop,Email,Feature_Use,28,$28.95,1
E50019,U10660,2023-06-16,Australia,Free,Tablet,Ads,Feature_Use,105,$197.83,1
E50020,U10887,2024-06-13,India,Free,Tablet,Ads,Churn,129,$17.53,1
E50021,U10681,2024-08-22,Canada,Free,Desktop,Ads,Login,73,$463.22,4
E50022,U10486,2023-08-20,India,Free,Mobile,Email,Feature_Use,30,$132.18,1
E50023,U10274,2024-01-27,Australia,Free,Tablet,Referral,Login,40,$96.57,0
E50024,U10050,2024-06-12,Germany,Basic,Desktop,Ads,Feature_Use,171,$84.65,4
E50025,U10952,2024-02-24,USA,Free,Tablet,Ads,Upgrade,158,$398.78,0
E50026,U10482,2024-01-06,India,Free,Mobile,Referral,Upgrade,73,$428.95,4
E50027,U10560,2023-08-03,Germany,Free,Tablet,Ads,Login,32,$63.49,1
E50028,U11104,2024-08-04,Canada,Enterprise,Desktop,Organic,Login,152,$281.85,0
E50029,U10368,2023-09-02,India,Basic,Desktop,Ads,Login,27,$450.11,4
E50030,U10248,2023-11-29,Germany,Pro,Tablet,Ads,Feature_Use,34,$184.31,1
E50031,U10475,2024-06-02,UK,Pro,Tablet,Organic,Login,29,$137.31,1
E50032,U10929,2024-06-14,Canada,Pro,Desktop,Organic,Login,10,$209.92,4
E50033,U10780,2024-02-18,Canada,Basic,Desktop,Email,Churn,154,$215.1,2
E50034,U10240,2023-09-27,Australia,Pro,Desktop,Ads,Login,50,$206.86,2
E50035,U10271,2023-08-22,UK,Free,Tablet,Organic,Login,128,$56.85,1
E50036,U10858,2023-07-28,UK,Basic,Mobile,Organic,Downgrade,43,$387.08,1
E50037,U11052,2023-11-02,Germany,Free,Mobile,Email,Feature_Use,42,$355.26,0
E50038,U11161,2023-07-20,Canada,Basic,Mobile,Ads,Login,151,$1.05,1
E50039,U10464,2023-08-24,Germany,Pro,Mobile,Organic,Login,150,$477.76,3
E50040,U10877,2023-06-23,Australia,Free,Desktop,Email,Login,35,$330.56,5
E50041,U10384,2023-05-24,UK,Enterprise,Desktop,Referral,Churn,10,$403.06,2
E50042,U11157,2023-10-03,Germany,Free,Desktop,Organic,Login,100,$249.55,1
E50043,U10235,2024-07-08,Germany,Enterprise,Tablet,Ads,Feature_Use,63,$318.42,0
E50044,U10953,2024-01-15,India,Pro,Tablet,Organic,Login,142,$10.16,0
E50045,U10388,2023-10-27,India,Free,Desktop,Referral,Churn,114,$344.19,2
E50046,U10972,2023-11-19,UK,Free,Desktop,Organic,Login,80,$303.8,2
E50047,U10921,2023-10-14,Australia,Free,Desktop,Organic,Feature_Use,18,$397.42,0
